date,description,amount
15/10/2025,IFOOD *IFOOD,R$ -45.50
14/10/2025,POSTO IPIRANGA,R$ -250.00
13/10/2025,Netflix Servicos,R$ -44.90
12/10/2025,Uber *UBER *TRIP,R$ -28.30
11/10/2025,FARMACIA PACHECO,R$ -85.70
10/10/2025,Carrefour Supermerc,R$ -320.45
09/10/2025,Spotify Brasil,R$ -21.90
08/10/2025,Uber *UBER *TRIP,R$ -32.15
07/10/2025,Restaurante Trat,R$ -89.00
06/10/2025,Amazon.com.br,R$ -127.90
05/10/2025,PIX Transferencia,R$ -500.00
04/10/2025,IFOOD *IFOOD,R$ -52.30
03/10/2025,Cinema Cinemark,R$ -68.00
02/10/2025,Padaria Sao Joao,R$ -15.80
01/10/2025,Uber *UBER *TRIP,R$ -19.45
